"TRANSACTION_DT","CUSTOMER_ID","AGE_GROUP","PIN_CODE","PRODUCT_SUBCLASS","PRODUCT_ID","AMOUNT","ASSET","SALES_PRICE"
"11/1/2000","01104905","45-49","115","110411","4710199010372","2","24","30"
"11/1/2000","00418683","45-49","115","120107","4710857472535","1","48","46"
"11/1/2000","01057331","35-39","115","100407","4710043654103","2","142","166"
"11/1/2000","01849332","45-49","Others","120108","4710126092129","1","32","38"
"11/1/2000","01981995","50-54","115","100205","4710176021445","1","14","18"
"11/1/2000","01741797","35-39","115","110122","0078895770025","1","54","75"
"11/1/2000","00308359","60-64","115","110507","4710192225520","1","85","105"
"11/1/2000","01607000","35-39","221","520503","4712936888817","1","45","68"
"11/1/2000","01057331","35-39","115","320203","4715398106864","2","70","78"
"11/1/2000","00236645","35-39","Unknown","120110","4710126091870","1","43","53"
"11/1/2000","01607000","35-39","221","520473","4711713290201","1","29","42"
"11/1/2000","00768566","","115","530503","4710314491017","2","250","316"
"11/1/2000","02116334","45-49","Others","110136","4710088410207","1","44","55"
"11/1/2000","01327205","40-44","221","100505","4710154012144","2","30","38"
"11/1/2000","00236645","35-39","Unknown","120110","4710126091849","1","62","78"
"11/1/2000","01634518","30-34","115","110505","0020000102818","1","139","138"
"11/1/2000","00217361","45-49","115","130103","4710583910004","1","27","33"
"11/1/2000","01004373","40-44","115","715911","4902520162847","1","120","161"
"11/1/2000","00841528","30-34","115","110408","4710734001346","1","12","16"
"11/1/2000","01034561","40-44","115","100416","8801055190294","1","181","235"
"11/1/2000","01327205","40-44","221","110504","4710323168054","2","34","40"
"11/1/2000","01173741","40-44","Others","530103","4710054139804","1","104","129"
"11/1/2000","00841528","30-34","115","110103","4712031000060","1","57","69"
"11/1/2000","02144702","25-29","115","130110","4902181016893","1","159","230"
"11/1/2000","01733204","40-44","115","560405","4710043004090","2","298","330"
"11/1/2000","02014883","25-29","115","120307","4710131130311","5","45","65"
"11/1/2000","00841528","30-34","115","100510","4710088424655","2","64","94"
"11/1/2000","01187366","25-29","221","130315","4714981010038","2","56","48"
"11/1/2000","00768566","","115","110401","4710088410443","1","40","55"
"11/1/2000","01752878",">65","115","110133","4710868501019","1","21","29"
"11/1/2000","00426541","35-39","114","130106","4710583110015","1","18","29"
"11/1/2000","00630849","40-44","115","130315","4714981010038","2","56","48"
"11/1/2000","00630849","40-44","115","110111","4710985010272","1","195","179"
"11/1/2000","01848564","","Unknown","320402","20546601","1","905","1129"
"11/1/2000","01607000","35-39","221","110117","4710012122121","1","61","73"
"11/1/2000","00539166","40-44","115","130103","4710088436498","1","15","19"
"11/1/2000","01849332","45-49","Others","120103","4710011405133","1","23","28"
"11/1/2000","01849332","45-49","Others","110411","4710085120628","2","40","37"
"11/1/2000","00656818","30-34","115","100205","4714125961004","1","70","89"
"11/1/2000","00217361","45-49","115","120103","4710011401128","2","46","56"
"11/1/2000","00305167",">65","115","110217","4719090900058","1","145","149"
"11/1/2000","01789225","35-39","115","100505","4710018008634","1","62","69"
"11/1/2000","02147239","25-29","Others","110411","4710088412201","1","29","38"
"11/1/2000","02007052","35-39","115","130308","4710290004171","1","22","29"
"11/1/2000","00663373","45-49","115","520469","4716349008084","1","24","36"
"11/1/2000","01173741","40-44","Others","120108","4710088443328","2","104","130"
